Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Kirk Muller,0.428,0.452,0.404,0.5,187,80,3,0,['Carolina Hurricanes']
Jack Adams,0.428,0.558,0.299,0.512,964,413,20,3,['Detroit Red Wings']
John Ferguson Sr.,0.428,0.516,0.32,0.485,121,50,3,0,"['New York Rangers', 'Winnipeg Jets (1979)']"
John Anderson,0.427,0.451,0.402,0.485,164,70,2,0,['Atlanta Thrashers']
Don Waddell,0.424,0.25,0.531,0.475,10,38,2,0,"['Atlanta Thrashers', 'Atlanta Thrashers']"
Barry Long,0.424,0.48,0.369,0.485,205,87,3,0,['Winnipeg Jets (1979)']
Clem Loughlin,0.424,0.486,0.361,0.493,144,61,3,0,['Chicago Blackhawks']
Travis Green,0.424,0.474,0.373,0.478,314,133,5,0,['Vancouver Canucks']
Jeremy Colliton,0.424,0.451,0.398,0.488,205,87,4,0,['Chicago Blackhawks']
Bob Francis,0.423,0.5,0.347,0.527,390,165,5,0,['Phoenix Coyotes']
Brad Larsen,0.423,0.483,0.353,0.464,111,47,2,0,['Columbus Blue Jackets']
Scott Gordon,0.422,0.501,0.346,0.473,51,89,4,0,"['Philadelphia Flyers', 'New York Islanders']"
Herb Brooks,0.421,0.49,0.348,0.485,285,219,7,0,"['New York Rangers', 'Minnesota North Stars', 'Pittsburgh Penguins', 'New Jersey Devils']"
Newsy Lalonde,0.419,0.543,0.293,0.458,95,144,11,0,"['Montréal Canadiens', 'Montréal Canadiens', 'Ottawa Senators (1917)', 'New York Americans']"
Rudy Pilous,0.419,0.508,0.33,0.514,387,162,6,1,['Chicago Blackhawks']
Martin St. Louis,0.418,0.361,0.484,0.463,67,28,2,0,['Montréal Canadiens']
Willie Desjardins,0.417,0.438,0.397,0.474,69,136,4,0,"['Los Angeles Kings', 'Vancouver Canucks']"
Frank Heffernan,0.417,0.833,0.0,0.417,12,5,1,0,['Toronto St. Patricks']
Andre Savard,0.417,0.417,0.417,0.438,24,10,1,0,['Quebec Nordiques']
Punch Imlach,0.416,0.489,0.344,0.479,760,402,14,4,"['Toronto Maple Leafs', 'Toronto Maple Leafs', 'Buffalo Sabres']"
Ron Low,0.414,0.44,0.388,0.465,164,208,7,0,"['New York Rangers', 'Edmonton Oilers']"
Emile Francis,0.414,0.506,0.323,0.478,654,388,13,0,"['New York Rangers', 'St. Louis Blues', 'St. Louis Blues']"
Tom Renney,0.412,0.459,0.365,0.472,327,260,9,0,"['New York Rangers', 'Vancouver Canucks', 'Edmonton Oilers']"
Dave King,0.409,0.505,0.312,0.487,216,173,6,0,"['Calgary Flames', 'Columbus Blue Jackets']"
Phil Maloney,0.409,0.496,0.325,0.478,232,95,4,0,['Vancouver Canucks']
Don Cherry,0.407,0.493,0.323,0.488,400,250,6,0,"['Boston Bruins', 'Colorado Rockies']"
Rick Wilson,0.406,0.562,0.25,0.531,32,13,1,0,['Dallas Stars']
John McLellan,0.406,0.535,0.277,0.479,310,126,4,0,['Toronto Maple Leafs']
Tommy Ivan,0.405,0.49,0.319,0.504,103,288,9,3,"['Chicago Blackhawks', 'Detroit Red Wings']"
Rick Ley,0.405,0.404,0.406,0.491,124,116,4,0,"['Vancouver Canucks', 'Hartford Whalers']"
Jean-Guy Talbot,0.404,0.492,0.317,0.476,80,82,3,0,"['New York Rangers', 'St. Louis Blues']"
Steve Kasper,0.402,0.439,0.366,0.463,164,66,2,0,['Boston Bruins']
Don Hay,0.401,0.33,0.472,0.485,68,61,2,0,"['Calgary Flames', 'Phoenix Coyotes']"
Jack Gordon,0.401,0.535,0.269,0.488,289,116,5,0,['Minnesota North Stars']
Tom Rowe,0.4,0.4,0.4,0.483,60,24,1,0,['Florida Panthers']
Billy Reay,0.399,0.483,0.316,0.478,90,542,16,0,"['Toronto Maple Leafs', 'Chicago Blackhawks']"
Ken Schinkel,0.399,0.501,0.286,0.465,86,83,4,0,"['Pittsburgh Penguins', 'Pittsburgh Penguins']"
Sprague Cleghorn,0.396,0.667,0.125,0.469,48,19,1,0,['Montreal Maroons']
Rick Tocchet,0.395,0.437,0.353,0.468,290,178,6,0,"['Arizona Coyotes', 'Tampa Bay Lightning']"
D.J. Smith,0.395,0.451,0.336,0.45,238,94,4,0,['Ottawa Senators']
Craig Hartsburg,0.394,0.457,0.336,0.475,246,201,7,0,"['Chicago Blackhawks', 'Ottawa Senators', 'Anaheim Ducks']"
Dick Irvin,0.394,0.471,0.3,0.482,896,691,27,4,"['Montréal Canadiens', 'Toronto Maple Leafs', 'Chicago Blackhawks', 'Chicago Blackhawks', 'Chicago Blackhawks']"
Tommy Gorman,0.393,0.409,0.379,0.491,174,133,8,2,"['Montreal Maroons', 'New York Americans', 'New York Americans', 'Chicago Blackhawks']"
Don Granato,0.393,0.417,0.368,0.45,140,55,3,0,['Buffalo Sabres']
Ted Nolan,0.392,0.456,0.329,0.453,164,187,6,0,"['Buffalo Sabres', 'Buffalo Sabres', 'New York Islanders']"
David Quinn,0.392,0.332,0.457,0.462,208,106,4,0,"['New York Rangers', 'San Jose Sharks']"
Art Ross,0.391,0.51,0.273,0.427,6,394,19,2,"['Montreal Wanderers', 'Hamilton Tigers', 'Boston Bruins', 'Boston Bruins', 'Boston Bruins']"
Kevin Lowe,0.39,0.439,0.342,0.537,82,32,1,0,['Edmonton Oilers']
Bryan Trottier,0.389,0.393,0.385,0.454,54,21,1,0,['New York Rangers']
Rick Dudley,0.389,0.455,0.322,0.505,188,98,4,0,"['Buffalo Sabres', 'Florida Panthers']"
Doug Carpenter,0.387,0.498,0.276,0.421,91,139,6,0,"['Toronto Maple Leafs', 'New Jersey Devils']"
Ron Stewart,0.386,0.439,0.329,0.459,39,46,2,0,"['New York Rangers', 'Los Angeles Kings']"
Derek King,0.386,0.371,0.4,0.457,70,27,1,0,['Chicago Blackhawks']
Pierre Page,0.385,0.451,0.319,0.451,160,253,8,0,"['Minnesota North Stars', 'Calgary Flames', 'Quebec Nordiques', 'Anaheim Ducks']"
Kevin Dineen,0.384,0.419,0.347,0.479,146,56,3,0,['Florida Panthers']
Bob Murdoch,0.384,0.506,0.263,0.447,80,93,3,0,"['Chicago Blackhawks', 'Winnipeg Jets (1979)']"
Lorne Molleken,0.383,0.458,0.304,0.489,47,18,2,0,['Chicago Blackhawks']
Ralph Krueger,0.383,0.412,0.354,0.451,97,55,3,0,"['Buffalo Sabres', 'Edmonton Oilers']"
Charles Querrie,0.382,0.555,0.21,0.422,43,29,3,0,"['Toronto St. Patricks', 'Toronto St. Patricks']"
Jacques Demers,0.38,0.483,0.276,0.444,220,409,14,1,"['Montréal Canadiens', 'Detroit Red Wings', 'St. Louis Blues', 'Quebec Nordiques', 'Tampa Bay Lightning']"
Jeff Blashill,0.38,0.422,0.337,0.447,537,204,7,0,['Detroit Red Wings']
Tom Webster,0.379,0.467,0.3,0.466,18,120,4,0,"['New York Rangers', 'Los Angeles Kings']"
John Tortorella,0.377,0.42,0.333,0.457,4,683,21,1,"['New York Rangers', 'New York Rangers', 'Vancouver Canucks', 'Tampa Bay Lightning', 'Columbus Blue Jackets', 'Philadelphia Flyers']"
Craig Patrick,0.376,0.55,0.203,0.439,60,66,4,0,"['New York Rangers', 'New York Rangers', 'Pittsburgh Penguins', 'Pittsburgh Penguins']"
Art Duncan,0.375,0.461,0.293,0.443,47,31,3,0,"['Toronto Maple Leafs', 'Detroit Cougars']"
Jim Roberts,0.375,0.448,0.303,0.487,9,50,3,0,"['St. Louis Blues', 'Buffalo Sabres', 'Hartford Whalers']"
Doug MacLean,0.374,0.455,0.285,0.456,187,107,5,0,"['Florida Panthers', 'Columbus Blue Jackets']"
Keith Magnuson,0.374,0.507,0.235,0.468,139,52,2,0,['Chicago Blackhawks']
John Muckler,0.373,0.443,0.302,0.444,185,276,10,1,"['New York Rangers', 'Minnesota North Stars', 'Buffalo Sabres', 'Edmonton Oilers']"
Ron Rolston,0.372,0.36,0.385,0.431,51,19,2,0,['Buffalo Sabres']
Jack Evans,0.372,0.437,0.307,0.435,240,237,8,0,"['Cleveland Barons', 'Hartford Whalers']"
Doug Harvey,0.371,0.457,0.286,0.457,70,26,1,0,['New York Rangers']
Red Kelly,0.371,0.502,0.241,0.457,318,278,10,0,"['Toronto Maple Leafs', 'Los Angeles Kings', 'Pittsburgh Penguins']"
Ron Lapointe,0.371,0.364,0.378,0.405,89,33,2,0,['Quebec Nordiques']
Todd Nelson,0.37,0.455,0.292,0.446,46,17,1,0,['Edmonton Oilers']
Paul Holmgren,0.37,0.412,0.329,0.421,264,161,8,0,"['Philadelphia Flyers', 'Hartford Whalers']"
Odie Cleghorn,0.369,0.429,0.309,0.429,168,62,4,0,['Pittsburgh Pirates']
Larry Pleau,0.367,0.447,0.285,0.423,118,81,5,0,"['Hartford Whalers', 'Hartford Whalers']"
Scott Arniel,0.366,0.377,0.355,0.439,123,45,2,0,['Columbus Blue Jackets']
