Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
John Tortorella,Tampa Bay Lightning,0.447,0.509,0.384,0.516,239,7,1
Art Duncan,Toronto Maple Leafs,0.447,0.609,0.292,0.553,21,2,0
Mario Tremblay,Montréal Canadiens,0.447,0.5,0.392,0.525,71,2,0
Mike Keenan,Boston Bruins,0.446,0.513,0.371,0.547,33,1,0
Bob Berry,Los Angeles Kings,0.446,0.5,0.392,0.527,107,3,0
Ted Nolan,Buffalo Sabres,0.445,0.524,0.366,0.503,73,2,0
Doug MacLean,Florida Panthers,0.444,0.505,0.38,0.532,83,3,0
Dit Clapper,Boston Bruins,0.444,0.556,0.33,0.53,102,4,0
John Cunniff,New Jersey Devils,0.444,0.574,0.308,0.511,59,2,0
Willie Desjardins,Vancouver Canucks,0.443,0.463,0.423,0.498,109,3,0
Terry Simpson,Winnipeg Jets (1979),0.443,0.551,0.333,0.479,43,2,0
Darryl Sutter,San Jose Sharks,0.442,0.486,0.4,0.529,192,6,0
Jacques Demers,St. Louis Blues,0.442,0.558,0.325,0.5,106,3,0
Jim Schoenfeld,Buffalo Sabres,0.442,0.565,0.3,0.5,19,1,0
Denis Savard,Chicago Blackhawks,0.442,0.493,0.389,0.497,65,3,0
Joe Sacco,Colorado Avalanche,0.442,0.503,0.381,0.493,130,4,0
Alain Nasreddine,New Jersey Devils,0.442,0.45,0.435,0.535,19,1,0
Floyd Smith,Toronto Maple Leafs,0.441,0.438,0.444,0.478,30,1,0
Ken Hitchcock,Columbus Blue Jackets,0.44,0.525,0.36,0.503,125,4,0
Bob McCammon,Philadelphia Flyers,0.44,0.583,0.308,0.55,22,1,0
Glen Sonmor,Minnesota North Stars,0.44,0.554,0.328,0.543,155,5,0
Colin Campbell,New York Rangers,0.439,0.474,0.403,0.519,118,4,0
John Tortorella,Vancouver Canucks,0.439,0.488,0.39,0.506,36,1,0
Larry Popein,New York Rangers,0.439,0.636,0.21,0.549,18,1,0
Larry Robinson,New Jersey Devils,0.438,0.529,0.333,0.516,14,1,0
Leo Dandurand,Montréal Canadiens,0.438,0.6,0.294,0.484,14,1,0
Dunc Munro,Montreal Maroons,0.438,0.562,0.312,0.516,14,1,0
Marc Boileau,Pittsburgh Penguins,0.437,0.592,0.3,0.517,66,3,0
Wayne Gretzky,Phoenix Coyotes,0.436,0.469,0.402,0.473,143,4,0
Jack Evans,Hartford Whalers,0.436,0.508,0.364,0.485,163,5,0
Craig Patrick,New York Rangers,0.433,0.452,0.414,0.525,26,1,0
Terry Simpson,New York Islanders,0.433,0.538,0.33,0.497,81,3,0
Jean-Guy Talbot,St. Louis Blues,0.433,0.533,0.333,0.496,52,2,0
Tommy Gorman,New York Americans,0.432,0.409,0.455,0.568,19,1,0
